Mes,Ventas,Gastos,Utilidad,Inversion_Ciberseguridad,Incidentes_Ciberneticos,Clientes_Nuevos
Enero,12000000,8000000,4000000,500000,2,25
Febrero,9500000,7000000,2500000,300000,1,20
Marzo,15000000,9500000,5500000,600000,0,28
Abril,11000000,8500000,2500000,400000,3,23
Mayo,14000000,9200000,4800000,350000,1,30
Junio,13000000,10000000,3000000,500000,2,27
Julio,9000000,7500000,1500000,200000,4,19
Agosto,16000000,9800000,6200000,650000,0,32
Septiembre,15500000,9700000,5800000,700000,1,31
Octubre,12000000,8900000,3100000,350000,2,25
Noviembre,12500000,9100000,3400000,400000,1,26
Diciembre,17000000,11000000,6000000,800000,0,35
